"","X_STATE","smoker_percent"
"1",1,11.4130434782609
"2",2,9.66576332429991
"3",4,8.47628657921292
"4",5,11.4995400183993
"5",6,6.99192044748291
"6",8,7.66341096919609
"7",9,8.11885821244736
"8",10,11.6591928251121
"9",11,8.23844608171467
"10",12,9.2567383610128
"11",13,10.3248259860789
"12",15,7.479964381122
"13",16,8.59570214892554
"14",17,9.36490850376749
"15",18,10.965283657917
"16",19,9.18918918918919
"17",20,10.0159372318254
"18",21,15.6277181791824
"19",22,11.5231032515687
"20",23,10.3507763082231
"21",24,7.81499202551834
"22",25,10.7107107107107
"23",26,10.9631464849799
"24",27,9.69120217517965
"25",28,10.936170212766
"26",29,13.4985207100592
"27",30,9.47476828012358
"28",31,9.35251798561151
"29",32,11.1111111111111
"30",33,9.80615735461802
"31",34,9.20709441836202
"32",35,8.88685295464956
"33",36,9.74917179365831
"34",37,11.6441343218491
"35",38,8.72832369942197
"36",39,11.3866967305524
"37",40,12.1346651868294
"38",41,9.44112859468258
"39",42,11.3553113553114
"40",44,9.63693411026446
"41",45,9.71065322227093
"42",46,9.96592844974446
"43",47,14.8333333333333
"44",48,8.10708183026391
"45",49,5.53807426054122
"46",50,10.2589154860772
"47",51,10.7259646827992
"48",53,8.56793145654835
"49",54,18.3682983682984
"50",55,10.6442577030812
"51",56,8.58864892014063
"52",66,17.7824267782427
"53",72,5.28551203397829
