"","X.x","X_STATE","n_heavy_drinkers","total_state","heavy_drinker_percent","high_chlo_percent","abbr","state","pop_2015","X.y","smoker_percent","X","percent"
"1",1,1,5,194,2.57731958762887,39.6907216494845,"AL","Alabama",4858979,1,11.4130434782609,1,4.93664637156492
"2",2,2,7,73,9.58904109589041,31.5068493150685,"AK","Alaska",738432,2,9.66576332429991,11,6.27253064167267
"3",3,4,12,175,6.85714285714286,33.7142857142857,"AZ","Arizona",6828065,3,8.47628657921292,32,6.09382556827342
"4",4,5,10,129,7.75193798449612,44.1860465116279,"AR","Arkansas",2978204,4,11.4995400183993,42,4.9938195302843
"5",5,6,14,303,4.62046204620462,23.4323432343234,"CA","California",39144818,5,6.99192044748291,49,5.85219039126073
"6",6,8,17,286,5.94405594405594,31.4685314685315,"CO","Colorado",5456574,6,7.66341096919609,52,6.04312177345885
"7",7,9,11,241,4.5643153526971,40.6639004149378,"CT","Connecticut",3590886,7,8.11885821244736,53,6.28119800332779
"8",8,10,4,88,4.54545454545455,35.2272727272727,"DE","Delaware",945934,8,11.6591928251121,2,5.63733166301284
"9",9,11,5,94,5.31914893617021,36.1702127659575,"DC","District of Columbia",672228,9,8.23844608171467,3,6.05869359419375
"10",10,12,16,237,6.75105485232067,32.0675105485232,"FL","Florida",20271272,10,9.2567383610128,4,5.40330920372285
"11",11,13,3,102,2.94117647058824,42.156862745098,"GA","Georgia",10214860,11,10.3248259860789,5,6.16607289668402
"12",12,15,13,166,7.83132530120482,33.1325301204819,"HI","Hawaii",1431603,12,7.479964381122,6,5.63636363636364
"13",13,16,3,126,2.38095238095238,30.1587301587302,"ID","Idaho",1654930,13,8.59570214892554,7,5.35079928952043
"14",14,17,8,117,6.83760683760684,36.7521367521368,"IL","Illinois",12859995,14,9.36490850376749,8,5.74765285092741
"15",15,18,6,131,4.58015267175572,36.6412213740458,"IN","Indiana",6619680,15,10.965283657917,9,5.61309030654515
"16",16,19,9,122,7.37704918032787,40.9836065573771,"IA","Iowa",3123899,16,9.18918918918919,10,5.10577705451587
"17",17,20,18,569,3.16344463971881,37.9613356766257,"KS","Kansas",2911641,17,10.0159372318254,12,5.4287045666356
"18",18,21,9,203,4.43349753694581,42.8571428571429,"KY","Kentucky",4425092,18,15.6277181791824,13,5.36677847455155
"19",19,22,6,108,5.55555555555556,30.5555555555556,"LA","Louisiana",4670724,19,11.5231032515687,14,4.5016077170418
"20",20,23,13,216,6.01851851851852,40.7407407407407,"ME","Maine",1329328,20,10.3507763082231,15,5.64421954067731
"21",21,24,6,308,1.94805194805195,38.961038961039,"MD","Maryland",6006401,21,7.81499202551834,16,5.64641744548287
"22",22,25,20,209,9.56937799043062,34.4497607655502,"MA","Massachusetts",6794422,22,10.7107107107107,17,6.58329739830387
"23",23,26,12,190,6.31578947368421,36.8421052631579,"MI","Michigan",9922576,23,10.9631464849799,18,5.76631259484067
"24",24,27,27,380,7.10526315789474,33.9473684210526,"MN","Minnesota",5489594,24,9.69120217517965,19,6.27928064077376
"25",25,28,4,123,3.2520325203252,31.7073170731707,"MS","Mississippi",2992333,25,10.936170212766,20,4.31423052157115
"26",26,29,7,162,4.32098765432099,38.2716049382716,"MO","Missouri",6083672,26,13.4985207100592,21,5.34284719805082
"27",27,30,11,148,7.43243243243243,31.0810810810811,"MT","Montana",1032949,27,9.47476828012358,22,6.48862925099103
"28",28,31,20,386,5.18134715025907,34.1968911917098,"NE","Nebraska",1896190,28,9.35251798561151,23,5.32765832538343
"29",29,32,4,52,7.69230769230769,36.5384615384615,"NV","Nevada",2890845,29,11.1111111111111,24,5.45373267769334
"30",30,33,9,149,6.04026845637584,46.3087248322148,"NH","New Hampshire",1330608,30,9.80615735461802,25,5.54006968641115
"31",31,34,7,237,2.9535864978903,35.8649789029536,"NJ","New Jersey",8958013,31,9.20709441836202,26,5.34919928825623
"32",32,35,2,145,1.37931034482759,37.9310344827586,"NM","New Mexico",2085109,32,8.88685295464956,27,6.04587869362364
"33",33,36,16,261,6.13026819923372,41.3793103448276,"NY","New York",19795791,33,9.74917179365831,28,5.30176026823135
"34",34,37,9,170,5.29411764705882,38.2352941176471,"NC","North Carolina",10042802,34,11.6441343218491,29,5.14905149051491
"35",35,38,5,113,4.42477876106195,42.4778761061947,"ND","North Dakota",756927,35,8.72832369942197,30,5.57950798884098
"36",36,39,11,286,3.84615384615385,36.3636363636364,"OH","Ohio",11613423,36,11.3866967305524,31,5.7879171947613
"37",37,40,11,163,6.74846625766871,48.4662576687117,"OK","Oklahoma",3911338,37,12.1346651868294,33,5.15519086692829
"38",38,41,14,129,10.8527131782946,37.2093023255814,"OR","Oregon",4028977,38,9.44112859468258,34,6.95609274790331
"39",39,42,7,153,4.57516339869281,33.9869281045752,"PA","Pennsylvania",12802503,39,11.3553113553114,35,5.52449116528741
"40",40,44,9,138,6.52173913043478,32.6086956521739,"RI","Rhode Island",1056298,40,9.63693411026446,36,5.42588042588043
"41",41,45,15,253,5.92885375494071,45.0592885375494,"SC","South Carolina",4896146,41,9.71065322227093,37,5.10415530592213
"42",42,46,5,166,3.01204819277108,33.1325301204819,"SD","South Dakota",858469,42,9.96592844974446,38,5.26767330130405
"43",43,47,8,127,6.2992125984252,47.244094488189,"TN","Tennessee",6600299,43,14.8333333333333,39,5.24582967515364
"44",44,48,25,318,7.86163522012579,38.6792452830189,"TX","Texas",27469114,44,8.10708183026391,40,5.3177691309987
"45",45,49,5,258,1.93798449612403,28.6821705426357,"UT","Utah",2995919,45,5.53807426054122,41,6.25979978289712
"46",46,50,11,153,7.18954248366013,28.7581699346405,"VT","Vermont",626042,46,10.2589154860772,43,5.95874713521772
"47",47,51,12,193,6.21761658031088,35.2331606217617,"VA","Virginia",8382993,47,10.7259646827992,44,5.90657390316626
"48",48,53,32,390,8.2051282051282,40,"WA","Washington",7170351,48,8.56793145654835,45,6.35589911767002
"49",49,54,4,140,2.85714285714286,30.7142857142857,"WV","West Virginia",1844128,49,18.3682983682984,46,5.16115441331367
"50",50,55,9,135,6.66666666666667,29.6296296296296,"WI","Wisconsin",5771337,50,10.6442577030812,47,6.32809351068118
"51",51,56,4,115,3.47826086956522,35.6521739130435,"WY","Wyoming",586107,51,8.58864892014063,48,5.64853556485356
"52",52,66,6,44,13.6363636363636,27.2727272727273,NA,NA,NA,52,17.7824267782427,50,4.99583680266445
"53",53,72,6,126,4.76190476190476,34.1269841269841,NA,NA,NA,53,5.28551203397829,51,7.08296557811121
